study_id,corpus_id,manuscript_reference_number,citation_key,title,applications_assigned,direct_mechanisms,indirect_mechanism_mentions,finding_direction_flag,comparator_reference_condition,evidence_settings,facility_context,spatial_system_scale,design_methods,original_primary_theme,original_control_method_standardized,original_congestion_mechanism_standardized,legacy_facility_tags
S001,M002,2,Majeed Algomaiah 2022,Enhancing Work Zone Capacity by a Cooperative Late Merge System Using Decentralized and Centralized Control Strategies,Cooperative merging / coordinated gap creation / ramp coordination; Integrated longitudinal–lateral bottleneck control; Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop; Congestion onset / breakdown; Lane-changing friction; Queue formation / discharge,,positive,Traditional work-zone system,simulation,Work zone / lane closure; Lane drop,Bottleneck / local facility,optimal control,Direct bottleneck/congestion mitigation,Cooperative late merge; Optimization/optimal control; Speed harmonization,Bottleneck activation/throughput; Capacity drop; Queue formation/discharge; Lane-changing friction / gaps,FB; LD; RM; WZ
S002,M003,3,Gihyeob An 2019,Lane-Changing Trajectory Optimization to Minimize Traffic Flow Disturbance in a Connected Automated Driving Environment,Integrated longitudinal–lateral bottleneck control,Lane-changing friction; Stop-and-go waves,,neutral,Not clearly reported,analytical/theoretical; simulation,Basic freeway or motorway segment,Vehicle string / platoon,MPC; optimal control,Direct bottleneck/congestion mitigation,MPC; Optimization/optimal control; Trajectory optimization; Lane-changing control,Lane-changing friction / gaps; Shockwave propagation; Stop-and-go waves / flow stability,COR
S003,M004,4,An et al. 2023,Speed Harmonization for Partially Connected and Automated Traffic,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop; Congestion onset / breakdown; Stop-and-go waves,,positive,No-CAV / all-human-driver baseline; conventional variable speed limit control; vehicle-based speed-harmonization control,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,rule-based/control law,Longitudinal control,Feedback linearization; PID; speed harmonization,Capacity drop; Bottleneck activation/throughput; Traffic breakdown; Stop-and-go waves,COR; FB; RM
S004,M005,5,Yu Bai 2022,Cooperative weaving for connected and automated vehicles to reduce traffic oscillation,Cooperative merging / coordinated gap creation / ramp coordination; Integrated longitudinal–lateral bottleneck control,Congestion onset / breakdown; Lane-changing friction; Stop-and-go waves,,neutral,Human-driver IDM baseline; cooperative lane-changing (CLC) motion planner,simulation,Weaving section,Bottleneck / local facility,MPC,Direct bottleneck/congestion mitigation,MPC; Cooperative motion planning,Lane-changing friction / gaps; Stop-and-go waves / flow stability; Bottleneck activation/throughput,FB; WV
S005,M010,10,Danjue Chen 2021,Harnessing connected and automated vehicle technologies to control lane changes at freeway merge bottlenecks in mixed traffic,Cooperative merging / coordinated gap creation / ramp coordination,Capacity drop; Congestion onset / breakdown; Lane-changing friction; Stop-and-go waves,Shifted / redistributed congestion,positive,"Alternative combinations of gap-closure, batch lane-changing, and gap-redistribution controls",analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,other/unspecified,Direct bottleneck/congestion mitigation,Traffic-flow modeling; Cooperative merging control; Gap management,Lane-changing friction / gaps; Capacity drop; Bottleneck activation/throughput; Stop-and-go waves,COR; FB; RM
S006,M011,11,Jieming Chen 2024,An Integrated Approach to Optimal Merging Sequence Generation and Trajectory Planning of Connected Automated Vehicles for Freeway On-Ramp Merging Sections,Cooperative merging / coordinated gap creation / ramp coordination; Integrated longitudinal–lateral bottleneck control,Congestion onset / breakdown; Merging turbulence,,neutral,Benchmark CAV merging-control algorithms (individual methods not named in the accessible author abstract),analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,optimal control,Direct bottleneck/congestion mitigation,MINLP; Optimal control; Trajectory planning; Cooperative merging,Merging turbulence; Bottleneck activation/throughput; Speed variance,COR; FB; RM
S007,M012,12,Sungyong Chung 2024,Gap setting control strategy for connected and automated vehicles in freeway lane-drop bottlenecks,Cooperative merging / coordinated gap creation / ramp coordination; Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop; Congestion onset / breakdown; Lane-changing friction; Queue formation / discharge,,neutral,Inflow-only gap-setting control (for the combined-control comparison),analytical/theoretical; simulation,Lane drop,Bottleneck / local facility,rule-based/control law,Direct bottleneck/congestion mitigation,PID feedback/control-theoretic; Gap-setting control,Capacity drop; Bottleneck activation/throughput; Lane-changing friction / gaps; Queue formation/discharge,COR; FB; LD; NET
S008,M013,13,Shumo Cui 2017,Stabilizing traffic flow via a single autonomous vehicle: Possibilities and limitations,Traffic smoothing / mobile-actuator control,Stop-and-go waves; String instability,Lane-changing friction,positive,Human-driven car-following flow without the stabilizing AV,analytical/theoretical; simulation,Ring-road / single-lane testbed,Local road segment,rule-based/control law,Sparse AV traffic smoothing / stop-and-go wave damping,Control-theoretic feedback; sparse AV stabilization,Stop-and-go waves; string instability; noise amplification,RR/SL
S009,M016,16,Daganzo 2002,Ten strategies for freeway congestion mitigation with advanced technologies,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Congestion onset / breakdown; Lane-changing friction; Queue formation / discharge,,positive,Not applicable,not clearly specified,Basic freeway or motorway segment,Not applicable,rule-based/control law,Direct bottleneck/congestion mitigation,Traffic management; ramp metering; VSL/speed control,Bottleneck activation/throughput; lane-changing friction / gaps; queueing/delay,COR; FB
S010,M017,17,Yu Du 2023,Adaptive Control with Moving Actuators at Motorway Bottlenecks with Connected and Automated Vehicles,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,Congestion onset / breakdown; Lane-changing friction; Physical spillback,,neutral,Not clearly reported,analytical/theoretical; simulation,Not clearly specified,Bottleneck / local facility,optimal control; rule-based/control law,Direct bottleneck/congestion mitigation,Feedback/control-theoretic; LQR; Moving-actuator speed control; FD-based activation,Bottleneck activation/throughput; spillback; lane-changing friction,COR; FB; RM
