operational_application,evidence_setting,study_count,corpus_ids
Traffic smoothing / mobile-actuator control,Analytical/theoretical,13,M013; M017; M023; M028; M032; M037; M050; M057; M064; M070; M078; M079; M080
Traffic smoothing / mobile-actuator control,Simulation,18,M013; M017; M021; M023; M028; M037; M038; M052; M053; M057; M064; M065; M070; M073; M078; M079; M080; M081
Traffic smoothing / mobile-actuator control,Test-track experiment,2,M050; M067
Traffic smoothing / mobile-actuator control,Field experiment,3,M023; M065; M067
Traffic smoothing / mobile-actuator control,Observational/open-road data,0,
Traffic smoothing / mobile-actuator control,Network/demand model,0,
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Analytical/theoretical,20,M004; M012; M017; M018; M019; M020; M025; M027; M028; M045; M051; M054; M061; M062; M064; M074; M076; M078; M079; M082
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Simulation,36,M002; M004; M012; M017; M018; M019; M020; M021; M024; M025; M026; M027; M028; M031; M035; M036; M038; M042; M045; M051; M052; M053; M054; M061; M062; M064; M065; M073; M074; M075; M076; M078; M079; M096; M082; M083
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Test-track experiment,0,
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Field experiment,1,M065
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Observational/open-road data,0,
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Network/demand model,0,
Lane assignment / lane-use control,Analytical/theoretical,2,M068; M086
Lane assignment / lane-use control,Simulation,4,M093; M058; M068; M086
Lane assignment / lane-use control,Test-track experiment,0,
Lane assignment / lane-use control,Field experiment,0,
Lane assignment / lane-use control,Observational/open-road data,0,
Lane assignment / lane-use control,Network/demand model,0,
Cooperative merging / coordinated gap creation / ramp coordination,Analytical/theoretical,9,M010; M011; M012; M022; M029; M034; M060; M090; M091
Cooperative merging / coordinated gap creation / ramp coordination,Simulation,16,M002; M005; M007; M011; M012; M022; M024; M029; M030; M034; M036; M044; M048; M060; M081; M091
Cooperative merging / coordinated gap creation / ramp coordination,Test-track experiment,0,
Cooperative merging / coordinated gap creation / ramp coordination,Field experiment,0,
Cooperative merging / coordinated gap creation / ramp coordination,Observational/open-road data,0,
Cooperative merging / coordinated gap creation / ramp coordination,Network/demand model,0,
Integrated longitudinal–lateral bottleneck control,Analytical/theoretical,10,M003; M011; M025; M029; M045; M051; M056; M069; M095; M086
Integrated longitudinal–lateral bottleneck control,Simulation,18,M002; M003; M005; M007; M011; M025; M029; M030; M036; M044; M045; M051; M056; M069; M095; M084; M086; M089
Integrated longitudinal–lateral bottleneck control,Test-track experiment,0,
Integrated longitudinal–lateral bottleneck control,Field experiment,0,
Integrated longitudinal–lateral bottleneck control,Observational/open-road data,0,
Integrated longitudinal–lateral bottleneck control,Network/demand model,0,
Platooning,Analytical/theoretical,2,M056; M091
Platooning,Simulation,3,M024; M056; M091
Platooning,Test-track experiment,0,
Platooning,Field experiment,0,
Platooning,Observational/open-road data,0,
Platooning,Network/demand model,0,
Routing / dynamic traffic assignment / managed-lane operation,Analytical/theoretical,5,M022; M094; M061; M063; M085
Routing / dynamic traffic assignment / managed-lane operation,Simulation,8,M022; M024; M092; M094; M052; M061; M063; M085
Routing / dynamic traffic assignment / managed-lane operation,Test-track experiment,0,
Routing / dynamic traffic assignment / managed-lane operation,Field experiment,0,
Routing / dynamic traffic assignment / managed-lane operation,Observational/open-road data,0,
Routing / dynamic traffic assignment / managed-lane operation,Network/demand model,7,M001; M009; M092; M094; M055; M063; M088
Perimeter/corridor control / fleet rebalancing,Analytical/theoretical,1,M085
Perimeter/corridor control / fleet rebalancing,Simulation,1,M085
Perimeter/corridor control / fleet rebalancing,Test-track experiment,0,
Perimeter/corridor control / fleet rebalancing,Field experiment,0,
Perimeter/corridor control / fleet rebalancing,Observational/open-road data,0,
Perimeter/corridor control / fleet rebalancing,Network/demand model,1,M088
