Source IDs,Source,Citation key,Year,Title,Authors,Journal/Venue,DOI/stable URL,Cit/yr,Study type,Setting / facility,AV/CAV technology,Primary theme,Theme flags,Relevance tier,Control dimension / method,Metrics / congestion mechanism,Lane-changing modeled?,Routing modeled?,Finding / note from upload,Limitations / caveats from upload,Citation detail flags,Deduplication status,Control dimension (standardized),Control method (standardized),Traffic setting (standardized),AV/CAV technology (standardized),Congestion mechanism (standardized),Evaluation metrics (standardized),DOI status,Row audit notes
Undermind #1,Undermind catalog,Siwen Yang 2025,2025,Valve Fleets: A Novel Control Method for Mixed Traffic Flow Regulation With Applications in Bottleneck Segments,"Siwen Yang, Yunwen Xu, and Dewei Li",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2025.3608730,,Analytical/modeling + microscopic simulation,freeway bottleneck; freeway segment/corridor,CAV; mixed traffic,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; MPC/optimal control; Mobile actuator control,Tier 1,Hierarchical traffic flow optimization and decentralized MPC,Total travel time; average travel speed; congestion length; bottleneck throughput; local congestion,Yes,No,Yang 2025 proposed valve fleets as multi-lane CAV mobile actuators with controllable speed and structural spacing in freeway bottleneck mixed traffic. SUMO experiments showed lower total travel time and congestion length plus higher average travel speed than no control and platoon-based control but the method depends on ideal V2V and V2I communication and simulated validation.,Simulation-only evidence; assumes ideal V2V and V2I communication; uses valve fleet entry frequency as proxy for CAV penetration; CAV clustering and fleet formation are left for future work.,Study details verified; DOI present,Kept / merged unique record,Longitudinal,Optimization/optimal control; MPC; Mobile actuator control,freeway bottleneck; freeway segment/corridor,CAV; mixed traffic,Bottleneck activation/throughput; Capacity drop; Queueing/delay; Stop-and-go waves,total travel time; average travel speed; congestion length; bottleneck throughput,present,Study details verified; coding includes MCTM and hierarchical MPC details plus SUMO metrics
Undermind #2; Perplexity table P13; Perplexity bibliography,Undermind catalog; Perplexity selected table; Perplexity bibliography,Eugene Vinitsky 2018,2018,Lagrangian Control through Deep-RL: Applications to Bottleneck Decongestion,"Eugene Vinitsky, Kanaad Parvate, Aboudy Kreidieh, Cathy Wu, and Alexandre Bayen",2018 21st International Conference on Intelligent Transportation Systems (ITSC),https://doi.org/10.1109/ITSC.2018.8569615,13,Microscopic simulation with deep RL,Multi-stage freeway bottleneck,AV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; RL/MARL,Tier 1,Deep RL Lagrangian speed control,Bottleneck outflow; inflow-outflow curve; capacity drop; comparison with feedback ramp metering,No,No,Vinitsky 2018 used deep reinforcement learning for Lagrangian longitudinal control of AVs in a simulated two-stage freeway bottleneck modeled after the San Francisco-Oakland Bay Bridge. With 10 percent AV penetration the controller stabilized bottleneck outflow near 1000 veh/h and improved high-inflow throughput by about 200 veh/h or 25 percent but lane-changing was disabled and field validation was not provided.,Simulation-only evidence; lane-changing disabled; centralized controller; simplified Bay Bridge bottleneck; performance under lane-changing and lower AV penetration left for future work.,Study details verified; DOI present,Retained after duplicate merge,Longitudinal,RL/MARL; Lagrangian control; Variable-speed control,Multi-stage freeway bottleneck,AV,Bottleneck activation/throughput; Capacity drop; Queueing/delay,throughput/capacity; bottleneck outflow; inflow-outflow curve; delay/travel time/queue,present,merged duplicate metadata; Study details verified; standardized coding updated
Undermind #3,Undermind catalog,Danjue Chen 2021,2021,Harnessing connected and automated vehicle technologies to control lane changes at freeway merge bottlenecks in mixed traffic,"Danjue Chen, Anupam Srivastava, and Soyoung Ahn",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2020.102950,8.8,Analytical/modeling + numerical analysis,merge/merging area; freeway bottleneck; freeway segment/corridor,CAV; mixed traffic,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Lateral/lane-changing control; Cooperative merging/platooning; Foundational theory,Tier 1,Lane-changing control with gap closure and batch lane-changing and gap redistribution,Bottleneck throughput; unutilized capacity; lane-change voids; speed disturbance propagation,Yes,No/unclear,Chen 2021 proposed three CAV-enabled lane-changing controls at freeway merge bottlenecks including gap closure batch lane-changing and gap redistribution. The analytical and numerical results showed that combinations such as batch lane-changing plus gap redistribution can reduce lane-change voids and improve bottleneck throughput but the framework relies on simplified car-following assumptions and mostly theoretical numerical evaluation.,Analytical and numerical evidence only; assumes simplified Newell car-following and deterministic elements; initially considers one mainline lane; stochasticity and multi-lane complications require future research.,Study details verified; DOI present,Kept / merged unique record,Lateral/merging,Traffic-flow modeling; Cooperative merging control; Gap management,merge/merging area; freeway bottleneck; freeway segment/corridor,CAV; mixed traffic,Lane-changing friction / gaps; Capacity drop; Bottleneck activation/throughput; Stop-and-go waves,throughput/capacity; unutilized capacity; speed/stability; string stability/wave damping,present,Study details verified and authors plus venue plus mechanisms corrected
Undermind #4,Undermind catalog,Yu Du 2023,2023,Adaptive Control with Moving Actuators at Motorway Bottlenecks with Connected and Automated Vehicles,"Yu Du, Michail A. Makridis, Chris M.J. Tampère, Anastasios Kouvelas, and Wei ShangGuan",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2023.104319,11,Microsimulation and control design,motorway bottleneck; freeway segment/corridor; off-ramp or lane-choice bottleneck; on-ramp extension discussed,CAV; mixed HDV-CAV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Speed harmonization; Mixed traffic control,Tier 1,Moving-actuator CAV speed control with LQR feedback and FD-based activation,Bottleneck density control and throughput improvement measured by density flow speed delay stop time queue length and lane-changing distribution,Yes,No/unclear,Du et al. 2023 proposed adaptive speed control using CAVs as moving actuators upstream of motorway bottlenecks in mixed traffic. The Aimsun Antwerp case study found lower density and delay plus higher speed and flow even at low CAV penetration rates with rush-hour delay reductions around 18 to 26 percent in the region of interest when penetration exceeded 20 percent.,Simulation-only evidence from one Antwerp case. Low penetration reduces actuator availability. Extra lane changes may create uncertainty. Lane-change plus speed control and interacting bottlenecks are left for future work.,Bibliographic details verified,Kept / merged unique record,Longitudinal,Feedback/control-theoretic; LQR; Moving-actuator speed control; FD-based activation,motorway bottleneck; freeway segment/corridor,CAV; mixed HDV-CAV,Bottleneck activation/throughput; spillback; lane-changing friction,throughput/capacity; delay/travel time/queue; speed/stability; density/occupancy,DOI verified,"Venue, comparator, and Antwerp operating context verified."
Undermind #5,Undermind catalog,Ha 2023,2023,Leveraging vehicle connectivity and autonomy for highway bottleneck congestion mitigation using reinforcement learning,"Paul Young Joun Ha, Sikai Chen, Jiqian Dong, and Samuel Labi",Transportmetrica A: Transport Science,https://doi.org/10.1080/23249935.2023.2215338,8.2,Microsimulation and reinforcement learning,highway bottleneck; lane-drop bottleneck; mixed traffic corridor,CAV; mixed HDV-CAV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; RL/MARL; Speed harmonization,Tier 1,Graph-based DDPG CAV speed harmonization,Bottleneck congestion and speed harmonization measured by throughput outflow rate speed standard deviation average speed reward and time-space speed heatmaps,Yes,No/unclear,Ha et al. 2023 trained CAVs with graph convolution and DDPG to harmonize speeds at highway lane-drop bottlenecks in mixed traffic. SUMO experiments showed that small CAV fleets improved bottleneck throughput and reduced speed variation relative to car-following baselines and generally outperformed VSL despite the VSL assuming full human-driver compliance.,Simulation-only evidence. Communication latency was assumed zero. CAV lane-changing was not used as a control action. Generalisability across car-following models and real deployment incentives require further study.,published DOI present; Study details verified,Kept / merged unique record,Longitudinal,RL/MARL; DDPG; Graph neural network; Speed harmonization,highway bottleneck; lane-drop bottleneck; mixed traffic corridor,CAV; mixed HDV-CAV,Bottleneck activation/throughput; speed oscillations; shockwave formation,throughput/capacity; speed/stability; delay/travel time/queue,DOI verified,Study details verified. Article published online in 2023 and appears in 2025 volume
Undermind #6,Undermind catalog,Hu 2019,2019,Trajectory optimization of connected and autonomous vehicles at a multilane freeway merging area,Xiangwang Hu and Jian Sun,Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2019.02.016,25,Microsimulation and trajectory optimization,multilane freeway merging area; on-ramp merge; freeway bottleneck,CAV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Lateral/lane-changing control; Cooperative merging/platooning,Tier 1,Integrated cooperative lane-changing control and cooperative merging control trajectory optimization,Merging bottleneck delay and lane imbalance measured by total delay time average travel speed and downstream lane imbalance factor,Yes,No/unclear,Hu and Sun 2019 developed an online trajectory optimization framework combining Cooperative Lane Changing Control and Cooperative Merging Control for a multilane freeway on-ramp bottleneck in a CAV environment. VISSIM-MATLAB experiments showed that integrated CLCC plus CMC reduced total delay by up to 57.5 percent compared with CMC alone and improved average speed by up to 7.3 percent while balancing downstream lane flow.,Assumes a fully connected and autonomous merging area. Lane-changing decision and execution are separated and lane-changing vehicle selection is random. Comfort is not prioritized and results are simulation-only for a two-lane mainline case.,published DOI present; Study details verified,Kept / merged unique record,Lateral; Longitudinal; Cooperative,Optimization/optimal control; Trajectory optimization; Cooperative merging control,multilane freeway merging area; on-ramp merge; freeway bottleneck,CAV,Bottleneck activation/throughput; merging turbulence; lane-changing friction,delay/travel time/queue; speed/stability; density/occupancy,DOI verified,Study details verified and author name corrected to Xiangwang Hu
Undermind #7,Undermind catalog,A. Ghiasi 2019,2019,A mixed traffic speed harmonization model with connected autonomous vehicles,"A. Ghiasi, X. Li, and Jiaqi Ma",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2019.05.005,25,Analytical/modeling + simulation,single-lane freeway bottleneck; freeway segment/corridor,CAV; CV; HV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Speed harmonization; Stop-and-go wave damping,Tier 1,CAV trajectory smoothing; speed harmonization,throughput; speed variation; fuel consumption; surrogate safety; stop-and-go oscillations; bottleneck queue,No,No,Ghiasi et al. 2019 proposed CAV trajectory smoothing for mixed HV-CV-CAV freeway traffic near a bottleneck. The simulations showed smoother trajectories and improvements in throughput speed variation fuel consumption and surrogate safety by damping backward deceleration waves.,Simulation-only evidence with stochastic car-following; developed mainly for a single-lane freeway without lane changing or overtaking; multi-lane extension and real-world trajectory validation remain future work,Bibliographic details verified,Kept / merged unique record,Longitudinal,Trajectory optimization; speed harmonization; prediction-based control,freeway bottleneck; freeway segment/corridor,CAV; CV; HV,Stop-and-go waves / flow stability; Bottleneck activation/throughput,throughput/capacity; speed/stability; fuel/emissions/energy; safety surrogate,present,Comparator and single-lane bottleneck setting verified.
Undermind #8,Undermind catalog,M. Karimi 2020,2020,Cooperative merging control via trajectory optimization in mixed vehicular traffic,"M. Karimi, C. Roncoli, C. Alecsandru, and M. Papageorgiou",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2020.102663,21,Analytical/modeling + simulation,on-ramp merge; merge/merging area; freeway bottleneck,CAV; conventional vehicles,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Cooperative merging/platooning; Longitudinal control,Tier 1,Cooperative CAV trajectory optimization; MPC,desired lead and lag gaps; speed tracking; acceleration; jerk; safety and comfort constraints; merging delay avoidance,Yes,No,Karimi et al. 2020 developed cooperative MPC-based trajectory optimization for six mixed CAV-conventional triplet scenarios at highway merging areas. The simulations showed efficient and smooth merging maneuvers that satisfied safety and comfort constraints and avoided stopping at the end of the acceleration lane.,Simulation-only lower-level controller; merging sequence assumed from a higher level; continuous mixed-flow evaluation across penetration rates not included; human-driver behavior cannot be fully guaranteed and triplet failure remains possible,Bibliographic details verified,Kept / merged unique record,Cooperative; Longitudinal,MPC; Optimization/optimal control,on-ramp merge; merge/merging area; freeway bottleneck,CAV; AV,Merging turbulence; Lane-changing friction / gaps; Bottleneck activation/throughput,speed/stability; safety surrogate; comfort; merging success,present,Mixed-traffic triplet scenarios and no-control trajectory reference verified.
Undermind #9,Undermind catalog,Tajdari et al. 2022,2022,Feedback-Based Ramp Metering and Lane-Changing Control With Connected and Automated Vehicles,"Farzam Tajdari, C. Roncoli, and M. Papageorgiou","IEEE Transactions on Intelligent Transportation Systems, 23(2), 939-951",https://doi.org/10.1109/TITS.2020.3018873,10,Analytical/modeling + macroscopic simulation,on-ramp merge; motorway bottleneck; multi-lane freeway segment,AV; CAV; CV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Lateral/lane-changing control; Ramp metering; Feedback control,Tier 1,Integrated ramp metering and lane-changing feedback control,TTS; bottleneck density; throughput; on-ramp queue; number of lane changes; capacity drop,Yes,No,Tajdari et al. 2020 proposed integrated lane-changing and ramp-metering control using an LQI feedback regulator with extremum-seeking set-point tuning. Macroscopic simulations with capacity drop showed congestion elimination and about 26 percent TTS improvement without activation logic and about 23 percent with activation logic.,Simulation-only evidence using a first-order multi-lane macroscopic model; experiments assume exact density measurements; ramp queue was not upper-bounded; field validation and richer behavioral uncertainty are not addressed,Study details verified,Kept / merged unique record,Lateral; Ramp control,Feedback/control-theoretic; LQI/LQR; Ramp metering; Extremum seeking,on-ramp merge; freeway bottleneck; freeway segment/corridor,AV; CAV; CV,Bottleneck activation/throughput; Capacity drop; Lane-changing friction / gaps,throughput/capacity; TTS/travel time; queue length; lane changes,present,The study confirms integrated controller metrics and reported TTS improvements; Final relevance review promoted this verified Tier-1 record into retained corpus; publication year corrected to volume-of-record year 2022.
Undermind #10,Undermind catalog,Zhu et al. 2024,2024,Improving Freeway Merging Efficiency via Flow-Level Coordination of Connected and Autonomous Vehicles,"Jie Zhu, Liang Wang, Ivana Tasic, and Xiaobo Qu",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2023.3346832,3.8,Analytical/modeling + microscopic simulation,freeway on-ramp merge; single-lane freeway bottleneck,CAV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Lateral/lane-changing control; Cooperative merging/platooning,Tier 1,Flow-level coordinative merging control with proactive gap creation and ramp platoon formation,travel time; delay; throughput; speed contour; traffic breakdown; capacity drop; merging disturbance,Yes,No,Zhu et al. 2024 proposed CoMC for freeway on-ramp bottlenecks using proactive mainline gap creation and ramp platoon formation. The study found that CoMC prevented recurrent congestion under high demand and increased throughput by about 6.6% in the critical scenario while reducing overall travel time by 67.3% and delay by 91.6%.,Simulation-only evidence; assumes 100% CAV penetration; single-lane freeway setup; ignores free lane changes on the main road; not applicable after traffic has already broken down to low-speed stop-and-go conditions.,Study details verified,Kept / merged unique record,Lateral; Cooperative,Optimization/control; proactive gap creation; platoon merging,freeway on-ramp merge; freeway bottleneck,CAV,Bottleneck activation/throughput; Capacity drop; Lane-changing friction / gaps; Traffic breakdown,travel time; delay; throughput; speed contour,present,The study supports Tier 1 classification; update year to 2024 based on journal publication while DOI remains 2023.
