reference_number,match_status,manuscript_reference,citation_key,matrix_title,doi_or_stable_url,application_codes,note
1,matched to uploaded coded matrix,"Adam, R., Alhammadi, A., Abdelfatah, A., & Ali, T. (2025). A Systematic Review of the Impact of Autonomous Vehicles on Transportation Networks. Journal of Sustainable Development of Energy, Water and Environment Systems, 13(3), 1-26. https://doi.org/10.13044/j.sdewes.d13.0583",Adam 2025,A Systematic Review of the Impact of Autonomous Vehicles on Transportation Networks,https://doi.org/10.13044/j.sdewes.d13.0583,routing_dta_managed_lane_operation,Excluded from application-map support if foundational/review-only.
2,matched to uploaded coded matrix,"Algomaiah, M., & Li, Z. (2022). Enhancing work zone capacity by a cooperative late merge system using decentralized and centralized control strategies. Journal of Transportation Engineering, Part A: Systems. https://doi.org/10.1061/JTEPBS.0000632",Majeed Algomaiah 2022,Enhancing Work Zone Capacity by a Cooperative Late Merge System Using Decentralized and Centralized Control Strategies,https://doi.org/10.1061/JTEPBS.0000632,cooperative_merging_gap_creation_ramp_coordination; integrated_longitudinal_lateral_bottleneck_control; speed_harmonization_dynamic_headway_bottleneck_inflow,
3,matched to uploaded coded matrix,"An, G., & Talebpour, A. (2019). Lane-changing trajectory optimization to minimize traffic flow disturbance in a connected automated driving environment. 2019 IEEE Intelligent Transportation Systems Conference (ITSC). https://doi.org/10.1109/ITSC.2019.8916942",Gihyeob An 2019,Lane-Changing Trajectory Optimization to Minimize Traffic Flow Disturbance in a Connected Automated Driving Environment,https://doi.org/10.1109/ITSC.2019.8916942,integrated_longitudinal_lateral_bottleneck_control,
4,matched to uploaded coded matrix,"An, L., Yang, X., Kim, D.-K., Hu, J., Wang, G., & Xu, Z. (2023). Speed harmonization for partially connected and automated traffic. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2023.3287336",An et al. 2023,Speed Harmonization for Partially Connected and Automated Traffic,https://doi.org/10.1109/TITS.2023.3287336,speed_harmonization_dynamic_headway_bottleneck_inflow,
5,matched to uploaded coded matrix,"Bai, Y., Zhang, Y., Li, X., & Hu, J. (2022). Cooperative weaving for connected and automated vehicles to reduce traffic oscillation. Transportmetrica A: Transport Science. https://doi.org/10.1080/23249935.2019.1645758",Yu Bai 2022,Cooperative weaving for connected and automated vehicles to reduce traffic oscillation,https://doi.org/10.1080/23249935.2019.1645758,cooperative_merging_gap_creation_ramp_coordination; integrated_longitudinal_lateral_bottleneck_control,
6,matched to uploaded coded matrix,"Banks, J. H. (1991). The two-capacity phenomenon: Some theoretical issues. Transportation Research Record. http://onlinepubs.trb.org/Onlinepubs/trr/1991/1320/1320-027.pdf",J. Banks 1991,THE TWO-CAPACITY PHENOMENON: SOME THEORETICAL ISSUES,http://onlinepubs.trb.org/Onlinepubs/trr/1991/1320/1320-027.pdf,speed_harmonization_dynamic_headway_bottleneck_inflow; traffic_smoothing_mobile_actuator,Excluded from application-map support if foundational/review-only.
7,matched to uploaded coded matrix,"Cai, B., Cao, Y., Chai, L., Shangguan, W., Cao, Y., Gao, J., & Chen, J. (2024). A graph reinforcement learning-based approach for merging of mixed traffic vehicles on on-ramp. 2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC). https://doi.org/10.1109/ITSC58415.2024.10919644",Cai 2024,A Graph Reinforcement Leaning-Based Approach for Merging of Mixed Traffic Vehicles on On-Ramp,https://doi.org/10.1109/ITSC58415.2024.10919644,,
8,matched to uploaded coded matrix,"Cassidy, M., & Bertini, R. (1999). Some traffic features at freeway bottlenecks. Transportation Research Part B: Methodological. https://doi.org/10.1016/S0191-2615(98)00023-X",Cassidy and Bertini 1999,Some traffic features at freeway bottlenecks,https://doi.org/10.1016/S0191-2615%2898%2900023-X,,Excluded from application-map support if foundational/review-only.
9,verified outside coded matrix — uploaded full-text PDF,"Chakraborty, S., Rey, D., Levin, M. W., & Waller, S. T. (2021). Freeway network design with exclusive lanes for automated vehicles under endogenous mobility demand. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2021.103440",Chakraborty et al. 2021,,https://doi.org/10.1016/j.trc.2021.103440,routing_dta_managed_lane_operation,Full text supplied and manually reviewed. Operational/network study added to the application-mechanism audit. Primary application: AV-exclusive/managed-lane network design with system-optimum DTA and endogenous demand. Direct map support: queue formation/discharge and shifted/redistributed congestion; physical spillback treated only as indirect because spatial queue propagation is represented but spillback is not reported as a measured outcome.
10,matched to uploaded coded matrix,"Chen, D., Srivastava, A., & Ahn, S. (2021). Harnessing connected and automated vehicle technologies to control lane changes at freeway merge bottlenecks in mixed traffic. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2020.102950",Danjue Chen 2021,Harnessing connected and automated vehicle technologies to control lane changes at freeway merge bottlenecks in mixed traffic,https://doi.org/10.1016/j.trc.2020.102950,cooperative_merging_gap_creation_ramp_coordination,
11,matched to uploaded coded matrix,"Chen, J., Zhou, Y., & Chung, E. (2023). An integrated approach to optimal merging sequence generation and trajectory planning of connected automated vehicles for freeway on-ramp merging sections. IEEE Transactions on Intelligent Transportation Systems, 25(2), 1897-1912. https://doi.org/10.1109/TITS.2023.3315650",Jieming Chen 2024,An Integrated Approach to Optimal Merging Sequence Generation and Trajectory Planning of Connected Automated Vehicles for Freeway On-Ramp Merging Sections,https://doi.org/10.1109/TITS.2023.3315650,cooperative_merging_gap_creation_ramp_coordination; integrated_longitudinal_lateral_bottleneck_control,
12,matched to uploaded coded matrix,"Chung, S., Ka, D., Kim, Y., & Lee, C. (2024). Gap setting control strategy for connected and automated vehicles in freeway lane-drop bottlenecks. IET Intelligent Transport Systems. https://doi.org/10.1049/itr2.12538",Sungyong Chung 2024,Gap setting control strategy for connected and automated vehicles in freeway lane-drop bottlenecks,https://doi.org/10.1049/itr2.12538,cooperative_merging_gap_creation_ramp_coordination; speed_harmonization_dynamic_headway_bottleneck_inflow,
13,matched to uploaded coded matrix,"Cui, S., Seibold, B., Stern, R. E., & Work, D. B. (2017). Stabilizing traffic flow via a single autonomous vehicle: Possibilities and limitations. 2017 IEEE Intelligent Vehicles Symposium (IV). https://doi.org/10.1109/IVS.2017.7995897",Shumo Cui 2017,Stabilizing traffic flow via a single autonomous vehicle: Possibilities and limitations,https://doi.org/10.1109/IVS.2017.7995897,traffic_smoothing_mobile_actuator,
14,verified outside coded matrix — uploaded full-text PDF,"Daganzo, C. F. (1994). The cell transmission model: A dynamic representation of highway traffic consistent with the hydrodynamic theory. Transportation research part B: methodological, 28(4), 269-287.",Daganzo 1994,,https://doi.org/10.1016/0191-2615(94)90002-7,,"Full text supplied and verified. Foundational cell-transmission-model paper on queue building, propagation, dissipation, and shockwaves. Retained as mechanism-supporting/foundational evidence; not used as an operational application row or Figure 2 marker-support study."
15,verified outside coded matrix — uploaded full-text PDF,"Daganzo, C. F. (1995). The cell transmission model, part II: network traffic. Transportation Research Part B: Methodological, 29(2), 79-93.",Daganzo 1995,,https://doi.org/10.1016/0191-2615(94)00022-R,,"Full text supplied and verified. Foundational network extension of the cell transmission model, including finite-capacity network traffic and dynamic traffic assignment foundations. Mechanism-supporting/foundational only; not used as operational application-map support."
16,matched to uploaded coded matrix,"Daganzo, C. F., Laval, J., & Muñoz, J. C. (2002). Ten strategies for freeway congestion mitigation with advanced technologies.",Daganzo 2002,Ten strategies for freeway congestion mitigation with advanced technologies,https://escholarship.org/uc/item/4kd6v6qf,speed_harmonization_dynamic_headway_bottleneck_inflow,
17,matched to uploaded coded matrix,"Du, Y., Makridis, M. A., Tampère, C. M. J., Kouvelas, A., & ShangGuan, W. (2023). Adaptive control with moving actuators at motorway bottlenecks with connected and automated vehicles. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2023.104319",Yu Du 2023,Adaptive Control with Moving Actuators at Motorway Bottlenecks with Connected and Automated Vehicles,https://doi.org/10.1016/j.trc.2023.104319,speed_harmonization_dynamic_headway_bottleneck_inflow; traffic_smoothing_mobile_actuator,
