corpus_id,manuscript_reference_number,citation_key,year,title,authors,journal_venue,doi_or_stable_url,manuscript_reference,review_role,coding_source,coding_completeness,study_type,av_cav_technology,primary_theme,relevance_tier,av_cav_decision_lever,design_method,coordination_implementation_mode,operational_application,facility_system_scale,mixed_traffic_condition,evidence_setting,congestion_mechanism,congestion_metric,key_finding,main_limitation,lane_changing_modeled,routing_modeled,source_ids,source,verification_status,audit_note,legacy_control_dimension,legacy_control_method,legacy_traffic_setting,legacy_congestion_mechanism,legacy_evaluation_metrics
M001,1,Adam 2025,2025,A Systematic Review of the Impact of Autonomous Vehicles on Transportation Networks,Reem Adam | Ahmed Alhammadi | Akmal Abdelfatah | Tarig Ali,Journal of Sustainable Development of Energy Water and Environment Systems,https://doi.org/10.13044/j.sdewes.d13.0583,"Adam, R., Alhammadi, A., Abdelfatah, A., & Ali, T. (2025). A Systematic Review of the Impact of Autonomous Vehicles on Transportation Networks. Journal of Sustainable Development of Energy, Water and Environment Systems, 13(3), 1-26. https://doi.org/10.13044/j.sdewes.d13.0583",Included only as system context,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,"Systematic
 review",AV | CAV,Network-level AV impacts,Tier 2,Lane choice,Not applicable,Not applicable / not clearly specified,Routing / dynamic traffic assignment / managed-lane operation,Mixed networks with AV-exclusive lanes,AV | CAV; Penetration/controllable-share assumption; Controller/driver heterogeneity,Network/demand model,Bottleneck activation/throughput | Network congestion distribution | Lane-changing friction / gaps,travel time | delay | throughput/capacity | speed/stability | conflicts,Adam et al. 2025 reviewed AV impacts on transportation networks using PRISMA-style literature review methods. The review reports that AVs can reduce travel time delay and congestion at suitable penetration rates but dedicated AV lanes may worsen congestion for non-AV traffic at low penetration or poor placement.,Secondary review evidence rather than original modeling. Findings aggregate heterogeneous studies with different scenarios assumptions and validation levels.,Yes,Yes,Perplexity table P20,Perplexity selected table,matched to uploaded coded matrix,Excluded from application-map support if foundational/review-only.,Route/network/lane-use,Review/survey,Mixed networks with AV-exclusive lanes,Bottleneck activation/throughput | Network congestion distribution | Lane-changing friction / gaps,travel time | delay | throughput/capacity | speed/stability | conflicts
M002,2,Majeed Algomaiah 2022,2022,Enhancing Work Zone Capacity by a Cooperative Late Merge System Using Decentralized and Centralized Control Strategies,Majeed Algomaiah and Zhixia Li,"Journal of Transportation Engineering, Part A: Systems",https://doi.org/10.1061/JTEPBS.0000632,"Algomaiah, M., & Li, Z. (2022). Enhancing work zone capacity by a cooperative late merge system using decentralized and centralized control strategies. Journal of Transportation Engineering, Part A: Systems. https://doi.org/10.1061/JTEPBS.0000632",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Microscopic simulation (VISSIM); optimization/control,CV; CAV,Direct bottleneck/congestion mitigation,Tier 1,Desired speed; Merge/yield/gap-acceptance decision,Optimal control,Centralized; Distributed/decentralized; Cooperative V2V; Infrastructure-assisted V2I/I2V,Cooperative merging / coordinated gap creation / ramp coordination; Integrated longitudinal–lateral bottleneck control; Speed harmonization / dynamic headway / bottleneck-inflow regulation,work zone; lane-drop bottleneck; merge/merging area,CV; CAV; Compliance assumption; Communication-reliability assumption,Simulation,Bottleneck activation/throughput; Capacity drop; Queue formation/discharge; Lane-changing friction / gaps,throughput/capacity; delay; queue length; speed/headway; lane-changing duration,"Algomaiah and Li (2022) studied cooperative late merge systems for CV/CAV work-zone lane closures using decentralized V2V/I2V cooperation and centralized CAV speed harmonization/gap optimization. The VISSIM simulations found the decentralized CLMS increased capacity by 17% and the centralized CLMS by 45% versus a traditional work zone, with reduced delay and queue length.","Simulation-only evidence for a particular two-lane highway lane-closure scenario; assumptions include DSRC communication, compliance rates, CAV headways, and 100% CAV for the centralized case. Authors identify future needs for multilane closures, alternative lane-changing models, late-merge-area sensitivity, and platoon-size analysis.",Yes,No/unclear,Undermind #90,Undermind catalog,matched to uploaded coded matrix,,Longitudinal; Lateral/merging; Cooperative,Cooperative late merge; Optimization/optimal control; Speed harmonization,work zone; lane-drop bottleneck; merge/merging area,Bottleneck activation/throughput; Capacity drop; Queue formation/discharge; Lane-changing friction / gaps,throughput/capacity; delay; queue length; speed/headway; lane-changing duration
M003,3,Gihyeob An 2019,2019,Lane-Changing Trajectory Optimization to Minimize Traffic Flow Disturbance in a Connected Automated Driving Environment,Gihyeob An and Alireza Talebpour,2019 IEEE Intelligent Transportation Systems Conference (ITSC),https://doi.org/10.1109/ITSC.2019.8916942,"An, G., & Talebpour, A. (2019). Lane-changing trajectory optimization to minimize traffic flow disturbance in a connected automated driving environment. 2019 IEEE Intelligent Transportation Systems Conference (ITSC). https://doi.org/10.1109/ITSC.2019.8916942",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + simulation,CAV; AV; V2V,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Desired time headway/spacing gap; Lane-change timing/execution,MPC; Optimal control,Cooperative V2V,Integrated longitudinal–lateral bottleneck control,lane-changing scenario; platoon; freeway/highway segment,CAV; AV; V2V; Penetration/controllable-share assumption; Communication-reliability assumption,Analytical/theoretical; Simulation,Lane-changing friction / gaps; Shockwave propagation; Stop-and-go waves / flow stability,total deceleration effort; acceleration; jerk; shockwave magnitude; speed recovery,"An and Talebpour 2019 studied joint optimization of a CAV lane-changing trajectory and MPC-based longitudinal response of the impacted target-lane vehicle. The study found that optimizing a sixth-order polynomial lane-change trajectory reduced total deceleration effort and produced less severe shockwaves, but the evaluation used simplified analytical and simulation scenarios with 100% CAV platoons.","Limited to discretionary lane-change scenarios, assumed V2V information and known MPC structure, used small simulated platoons with 100% CAV market penetration, and did not validate in field traffic.",Yes,No,Undermind #50,Undermind catalog,matched to uploaded coded matrix,,Lateral; Longitudinal; Cooperative,MPC; Optimization/optimal control; Trajectory optimization; Lane-changing control,lane-changing scenario; platoon; freeway/highway segment,Lane-changing friction / gaps; Shockwave propagation; Stop-and-go waves / flow stability,total deceleration effort; acceleration; jerk; shockwave magnitude; speed recovery
M004,4,An et al. 2023,2023,Speed Harmonization for Partially Connected and Automated Traffic,"Lianhua An, Xianfeng Yang, Dong-Kyu Kim, Jia Hu, Guan Wang, and Zhigang Xu",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2023.3287336,"An, L., Yang, X., Kim, D.-K., Hu, J., Wang, G., & Xu, Z. (2023). Speed harmonization for partially connected and automated traffic. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2023.3287336",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/control design + microscopic simulation,CAV in mixed traffic,Longitudinal control,Tier 1,Desired speed,Rule-based/control law,Individual/onboard or not clearly specified,Speed harmonization / dynamic headway / bottleneck-inflow regulation,multi-lane freeway; on-ramp bottleneck,CAV in mixed traffic; HDV/mixed-traffic behavior,Analytical/theoretical; Simulation,Capacity drop; Bottleneck activation/throughput; Traffic breakdown; Stop-and-go waves,control accuracy; settling time; flow rate; cumulative delay; stops,An et al. 2023 proposed a speed harmonization controller that regulates total traffic flow by adjusting only CAV target cruising speeds in partially connected automated traffic. The study reported over 80% control accuracy and showed that bottleneck control increased flow rate by about 6% reduced stops by up to 90% and reduced delay by about 5% by preventing breakdown and capacity drop.,Simulation-only evidence; performance degrades for target demand drops above 20%; relies on traffic-state measurement and density estimates; benchmark is no-control rather than a broad set of competing controllers.,No/unclear,No,Undermind #12; Undermind #148,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,Feedback linearization; PID; speed harmonization,multi-lane freeway; on-ramp bottleneck,Capacity drop; Bottleneck activation/throughput; Traffic breakdown; Stop-and-go waves,control accuracy; settling time; flow rate; cumulative delay; stops
M005,5,Yu Bai 2022,2022,Cooperative weaving for connected and automated vehicles to reduce traffic oscillation,"Yu Bai, Yu Zhang, Xin Li, and Jia Hu",Transportmetrica A: Transport Science,https://doi.org/10.1080/23249935.2019.1645758,"Bai, Y., Zhang, Y., Li, X., & Hu, J. (2022). Cooperative weaving for connected and automated vehicles to reduce traffic oscillation. Transportmetrica A: Transport Science. https://doi.org/10.1080/23249935.2019.1645758",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Simulation with MPC cooperative motion planning,CAV,Direct bottleneck/congestion mitigation,Tier 1,Not clearly specified,MPC,Cooperative V2V,Cooperative merging / coordinated gap creation / ramp coordination; Integrated longitudinal–lateral bottleneck control,weaving/diverge; freeway bottleneck,CAV; Communication-reliability assumption,Simulation,Lane-changing friction / gaps; Stop-and-go waves / flow stability; Bottleneck activation/throughput,speed reduction; traffic oscillation reduction; speed profiles; computation time,Bai et al. 2022 proposed an MPC cooperative weaving planner for CAVs in freeway weaving areas. The simulation found traffic oscillation reductions of 2.7% to 28.0% versus an IDM human-driver baseline using speed reduction of tail vehicles and computation time under 20 ms.,Simulation-only evidence; all vehicles in the scope of interest are assumed to be CAVs; simplified six-vehicle weaving case; baseline assumes polite drivers and ignores stochasticity and imprecision; robustness and field validation are left for future work.,Yes,No/unclear,Undermind #173,Undermind catalog,matched to uploaded coded matrix,,Longitudinal; Lateral/merging; Cooperative,MPC; Cooperative motion planning,weaving/diverge; freeway bottleneck,Lane-changing friction / gaps; Stop-and-go waves / flow stability; Bottleneck activation/throughput,speed reduction; traffic oscillation reduction; speed profiles; computation time
M006,6,J. Banks 1991,1991,THE TWO-CAPACITY PHENOMENON: SOME THEORETICAL ISSUES,James H. Banks,Transportation Research Record,http://onlinepubs.trb.org/Onlinepubs/trr/1991/1320/1320-027.pdf,"Banks, J. H. (1991). The two-capacity phenomenon: Some theoretical issues. Transportation Research Record. http://onlinepubs.trb.org/Onlinepubs/trr/1991/1320/1320-027.pdf",Included as mechanism-supporting evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Empirical and theoretical analysis,N/A or needs verification,Foundational traffic-flow theory,Tier 3,Acceleration/deceleration; Desired time headway/spacing gap,Other / not clearly specified,Not applicable / not clearly specified,Not applicable,freeway bottlenecks; San Diego freeway sites,N/A or needs verification,Analytical/theoretical,Capacity drop; Bottleneck activation/throughput; Stop-and-go waves / flow stability; Queueing/delay,throughput/capacity; detector counts; time headway; time gap; speed and flow,Banks 1991 examined the two-capacity phenomenon using San Diego freeway bottleneck observations and car-following theory. The study found downstream flow often decreased after queue formation and attributed most of the drop to increased vehicle passage time after speed reductions with breakdown triggered by speed instability.,Limited to four San Diego bottlenecks; theoretical explanation depended on simplified linear car-following assumptions and several validity questions remained,No/unclear,No/unclear,Undermind #186,Undermind catalog,matched to uploaded coded matrix,Excluded from application-map support if foundational/review-only.,Longitudinal; Traffic-flow theory,Empirical traffic-flow analysis; Car-following theory,freeway bottlenecks; San Diego freeway sites,Capacity drop; Bottleneck activation/throughput; Stop-and-go waves / flow stability; Queueing/delay,throughput/capacity; detector counts; time headway; time gap; speed and flow
M007,7,Cai 2024,2024,A Graph Reinforcement Leaning-Based Approach for Merging of Mixed Traffic Vehicles on On-Ramp,"Baigen Cai, Yan Cao, Linguo Chai, Wei Shangguan, Yue Cao, Jin Gao, and Junjie Chen",2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC),https://doi.org/10.1109/ITSC58415.2024.10919644,"Cai, B., Cao, Y., Chai, L., Shangguan, W., Cao, Y., Gao, J., & Chen, J. (2024). A graph reinforcement learning-based approach for merging of mixed traffic vehicles on on-ramp. 2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC). https://doi.org/10.1109/ITSC58415.2024.10919644",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Simulation; DRL control,CAV; HDV mixed traffic,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Lane-change timing/execution,RL/MARL,Cooperative V2V,Cooperative merging / coordinated gap creation / ramp coordination; Integrated longitudinal–lateral bottleneck control,on-ramp merge; merge/merging area; mixed traffic,CAV; HDV mixed traffic; HDV/mixed-traffic behavior; Communication-reliability assumption,Simulation,Bottleneck activation/throughput; Queue formation/discharge; Merging turbulence; Stop-and-go waves / flow stability,traffic speed; queuing time; simulation time,"Cai et al. (2024) proposed a GCN-Rainbow DQN controller for cooperative CAV acceleration and left-lane-change decisions in mixed on-ramp traffic. The method increased traffic speed and reduced ramp queuing time across 700, 900, and 1200 veh/h scenarios compared with Rainbow DQN and rule-based IDM plus LC2013 control.",Simulation-only SUMO evidence; HDV behavior fixed by IDM and LC2013; communication delays ignored; scenario uses a limited 150 m control area and simplified vehicle counts.,Yes,No/unclear,Undermind #121,Undermind catalog,matched to uploaded coded matrix,,Longitudinal; Lateral/merging; Cooperative,RL/MARL,on-ramp merge; merge/merging area; mixed traffic,Bottleneck activation/throughput; Queue formation/discharge; Merging turbulence; Stop-and-go waves / flow stability,traffic speed; queuing time; simulation time
M008,8,Cassidy and Bertini 1999,1999,Some traffic features at freeway bottlenecks,M. Cassidy and R. Bertini,Transportation Research Part B: Methodological,https://doi.org/10.1016/S0191-2615%2898%2900023-X,"Cassidy, M., & Bertini, R. (1999). Some traffic features at freeway bottlenecks. Transportation Research Part B: Methodological. https://doi.org/10.1016/S0191-2615(98)00023-X",Included as mechanism-supporting evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Empirical field data analysis,N/A,Foundational theory,Tier 3,Not applicable,Not applicable,Not applicable / not clearly specified,Not applicable,freeway bottleneck; freeway segment/corridor,N/A,Analytical/theoretical; Observational/open-road data,Capacity drop; Queue discharge; Bottleneck activation/throughput,queue discharge flow; pre-queue flow; cumulative vehicle counts; cumulative occupancy; percent flow reduction,Cassidy and Bertini 1999 examined loop-detector data from two Toronto freeway bottlenecks. The study found that average queue discharge rates were about 8 to 10 percent lower than pre-queue flows and that discharge flows were nearly stationary around a fixed rate after queue formation.,two freeway sites only; observational evidence; causes of flow drops not identified; regional generalizability uncertain,No,No,Undermind #168,Undermind catalog,matched to uploaded coded matrix,Excluded from application-map support if foundational/review-only.,N/A,N/A,freeway bottleneck; freeway segment/corridor,Capacity drop; Queue discharge; Bottleneck activation/throughput,queue discharge flow; pre-queue flow; cumulative vehicle counts; cumulative occupancy; percent flow reduction
M009,9,Chakraborty et al. 2021,2021,Freeway network design with exclusive lanes for automated vehicles under endogenous mobility demand,Shantanu Chakraborty; David Rey; Michael W. Levin; S. Travis Waller,"Transportation Research Part C: Emerging Technologies, 133, 103440",https://doi.org/10.1016/j.trc.2021.103440,"Chakraborty, S., Rey, D., Levin, M. W., & Waller, S. T. (2021). Freeway network design with exclusive lanes for automated vehicles under endogenous mobility demand. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2021.103440",Included only as system context,Manual full-text coding from uploaded PDF,Substantively coded from full text,Network design optimization with system-optimum dynamic traffic assignment and endogenous demand,AV and legacy vehicles; mixed fleet with endogenous mode/demand split,Network-level managed-lane design and endogenous demand,Retained manuscript corpus,Lane choice; Route choice; Entry/access/release decision,Optimal control,Centralized network optimization / infrastructure allocation,Routing / dynamic traffic assignment / managed-lane operation,Freeway network; network scale,AV/LV demand split; endogenous mobility demand; mixed-vehicle network,Network/demand model,Queue formation/discharge; Shifted/redistributed congestion; physical spillback represented only indirectly,Network travel time / system performance; queueing effects; lane-allocation effects,Optimizes AV-exclusive lane placement while accounting for endogenous AV/LV demand and system-optimum dynamic traffic assignment; the optimal freeway lane design is non-trivial when demand split is endogenous.,"Numerical evaluation on hypothetical freeway networks; inference depends on network, demand-choice, and assignment assumptions.",Aggregate/lane-based network representation,Yes,,Manuscript reference + uploaded PDF/audit verification,verified outside coded matrix — uploaded full-text PDF,Full text supplied and manually reviewed. Operational/network study added to the application-mechanism audit. Primary application: AV-exclusive/managed-lane network design with system-optimum DTA and endogenous demand. Direct map support: queue formation/discharge and shifted/redistributed congestion; physical spillback treated only as indirect because spatial queue propagation is represented but spillback is not reported as a measured outcome.,,,,,
M010,10,Danjue Chen 2021,2021,Harnessing connected and automated vehicle technologies to control lane changes at freeway merge bottlenecks in mixed traffic,"Danjue Chen, Anupam Srivastava, and Soyoung Ahn",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2020.102950,"Chen, D., Srivastava, A., & Ahn, S. (2021). Harnessing connected and automated vehicle technologies to control lane changes at freeway merge bottlenecks in mixed traffic. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2020.102950",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + numerical analysis,CAV; mixed traffic,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Desired time headway/spacing gap; Lane-change timing/execution; Merge/yield/gap-acceptance decision,Not applicable,Cooperative V2V,Cooperative merging / coordinated gap creation / ramp coordination,merge/merging area; freeway bottleneck; freeway segment/corridor,CAV; mixed traffic; HDV/mixed-traffic behavior,Analytical/theoretical,Lane-changing friction / gaps; Capacity drop; Bottleneck activation/throughput; Stop-and-go waves,throughput/capacity; unutilized capacity; speed/stability; string stability/wave damping,Chen 2021 proposed three CAV-enabled lane-changing controls at freeway merge bottlenecks including gap closure batch lane-changing and gap redistribution. The analytical and numerical results showed that combinations such as batch lane-changing plus gap redistribution can reduce lane-change voids and improve bottleneck throughput but the framework relies on simplified car-following assumptions and mostly theoretical numerical evaluation.,Analytical and numerical evidence only; assumes simplified Newell car-following and deterministic elements; initially considers one mainline lane; stochasticity and multi-lane complications require future research.,Yes,No/unclear,Undermind #3,Undermind catalog,matched to uploaded coded matrix,,Lateral/merging,Traffic-flow modeling; Cooperative merging control; Gap management,merge/merging area; freeway bottleneck; freeway segment/corridor,Lane-changing friction / gaps; Capacity drop; Bottleneck activation/throughput; Stop-and-go waves,throughput/capacity; unutilized capacity; speed/stability; string stability/wave damping
